,$\overline{\alpha^c}$,$\overline{\alpha^e_E}$,$\overline{\theta^e}$,$\overline{\alpha^e_C}$,$\overline{\alpha^{e+}_C}$,$\overline{\alpha^e_J}$,$\overline{\delta^c}$,$\overline{\delta^e}$,$\overline{\delta^m_\tau}$,$\overline{\delta^c_\tau}$,$\overline{\delta^e_\tau}$,$\overline{\eta^{\mathcal{M}}_{\mathcal{V}}}$
$\overline{\alpha^c}$,1.000000,0.905507,0.737884,0.893921,0.909449,0.844076,-0.304755,-0.255282,-0.083434,-0.445599,-0.445987,-0.117463
$\overline{\alpha^e_E}$,0.905507,1.000000,0.665024,0.937679,0.879623,0.819261,-0.224120,-0.184844,-0.100918,-0.392533,-0.393556,-0.374448
$\overline{\theta^e}$,0.737884,0.665024,1.000000,0.683875,0.780166,0.591521,-0.356396,-0.360656,-0.019987,-0.488762,-0.523821,-0.175517
$\overline{\alpha^e_C}$,0.893921,0.937679,0.683875,1.000000,0.944998,0.806764,-0.253539,-0.195256,-0.114782,-0.437400,-0.435912,-0.134326
$\overline{\alpha^{e+}_C}$,0.909449,0.879623,0.780166,0.944998,1.000000,0.832444,-0.265640,-0.204738,-0.144286,-0.430010,-0.430048,0.106020
$\overline{\alpha^e_J}$,0.844076,0.819261,0.591521,0.806764,0.832444,1.000000,-0.248697,-0.190800,0.088555,-0.392765,-0.390090,-0.240146
$\overline{\delta^c}$,-0.304755,-0.224120,-0.356396,-0.253539,-0.265640,-0.248697,1.000000,0.972178,0.462389,0.886257,0.862830,0.212794
$\overline{\delta^e}$,-0.255282,-0.184844,-0.360656,-0.195256,-0.204738,-0.190800,0.972178,1.000000,0.258756,0.911373,0.905998,0.359912
$\overline{\delta^m_\tau}$,-0.083434,-0.100918,-0.019987,-0.114782,-0.144286,0.088555,0.462389,0.258756,1.000000,0.153520,0.054666,-0.312701
$\overline{\delta^c_\tau}$,-0.445599,-0.392533,-0.488762,-0.437400,-0.430010,-0.392765,0.886257,0.911373,0.153520,1.000000,0.993063,0.333334
$\overline{\delta^e_\tau}$,-0.445987,-0.393556,-0.523821,-0.435912,-0.430048,-0.390090,0.862830,0.905998,0.054666,0.993063,1.000000,0.392796
$\overline{\eta^{\mathcal{M}}_{\mathcal{V}}}$,-0.117463,-0.374448,-0.175517,-0.134326,0.106020,-0.240146,0.212794,0.359912,-0.312701,0.333334,0.392796,1.000000
