method,benchmark,alpha_c,alpha_eE,theta_e,alpha_eC,alpha_eplus_C,alpha_eJ,delta_c,delta_e,delta_m_tau,delta_c_tau,delta_e_tau,eta_M_V
Ego-R1,EgoLifeQA,35.0,24.0,0.45,25.6,6.4,5.2,33.0,34.6,,15.1,15.9,1.02
Ego-R1,EgoR1Bench,45.0,24.6,0.394,22.0,3.67,12.0,27.6,29.6,,14.0,18.2,1.02
Ego-R1,Egoschema,65.4,49.2,0.567,63.0,54.8,23.4,21.4,21.8,,1.21,1.4,1.04
EgoButler,EgoLifeQA,27.7,26.4,0.415,31.0,2.4,4.4,2.4,1.02,0.192,0.943,0.401,0.001
EgoButler,EgoR1Bench,21.0,22.1,0.467,25.7,4.33,13.3,3.06,1.05,0.17,0.215,0.106,0.001
EgoButler,Egoschema,38.5,46.2,0.525,38.4,7.8,23.1,2.12,2.2,0.333,0.118,0.122,0.021
EgoGPT,EgoLifeQA,35.0,26.0,0.594,29.2,11.0,9.0,1.67,1.86,,0.555,0.605,
EgoGPT,EgoR1Bench,30.0,22.0,0.57,27.7,19.0,21.7,1.65,1.91,,0.543,0.623,
EgoGPT,Egoschema,57.6,48.6,0.66,54.8,41.0,33.8,2.42,3.54,,0.134,0.197,
EgoVidMem,EgoLifeQA,55.0,34.2,0.451,39.4,12.8,30.4,14.2,18.3,0.381,7.08,8.38,0.07
EgoVidMem,EgoR1Bench,59.0,38.7,0.571,30.6,18.3,29.7,10.5,15.1,0.341,5.22,5.5,0.063
EgoVidMem,Egoschema,88.6,74.2,0.692,65.0,64.8,56.2,6.77,5.29,0.362,0.376,0.294,0.048
HippoMM,EgoLifeQA,16.7,26.1,0.305,30.4,4.4,4.4,125.0,143.0,0.049,49.2,56.4,1.23
HippoMM,EgoR1Bench,14.3,9.33,0.347,9.33,0.0,5.0,79.4,91.0,0.049,31.2,35.7,1.25
HippoMM,Egoschema,55.6,25.0,0.628,43.8,43.8,37.4,7.4,21.4,0.396,0.411,1.19,1.85
InternVL3.5,EgoLifeQA,35.8,24.0,0.464,26.0,7.62,6.23,80.9,81.8,,27.1,27.3,
InternVL3.5,EgoR1Bench,35.7,24.0,0.503,30.3,15.7,17.7,80.3,80.9,,26.5,26.7,
InternVL3.5,Egoschema,80.2,59.8,0.719,65.0,53.0,40.6,53.1,56.6,,2.95,3.15,
InternVideo2.5,EgoLifeQA,28.0,23.8,0.478,27.4,9.4,5.6,4.41,4.48,,1.42,1.5,
InternVideo2.5,EgoR1Bench,30.0,22.0,0.502,29.3,13.0,14.0,4.17,4.48,,1.37,1.46,
InternVideo2.5,Egoschema,74.4,53.0,0.64,58.2,44.6,31.4,7.22,8.26,,0.401,0.459,
LLaVA-OV,EgoLifeQA,38.0,25.2,0.606,29.2,11.6,8.8,2.6,2.73,,0.871,0.906,
LLaVA-OV,EgoR1Bench,41.7,26.0,0.578,28.3,14.3,18.7,2.6,2.74,,0.856,0.88,
LLaVA-OV,Egoschema,66.0,49.2,0.673,60.4,47.4,37.2,2.37,7.46,,0.132,0.414,
LLaVA-Video,EgoLifeQA,35.4,21.2,0.599,26.8,10.6,6.8,14.0,14.4,,4.71,4.86,
LLaVA-Video,EgoR1Bench,41.0,19.7,0.578,29.7,16.7,17.3,14.0,14.6,,4.63,4.79,
LLaVA-Video,Egoschema,74.0,55.0,0.689,61.6,48.8,38.0,16.0,28.2,,0.889,1.57,
LongVA,EgoLifeQA,34.2,24.2,0.338,30.8,5.4,3.6,1.54,2.93,,0.52,0.991,
LongVA,EgoR1Bench,30.7,24.0,0.37,29.3,9.67,14.3,1.54,3.3,,0.51,1.09,
LongVA,Egoschema,49.2,43.0,0.597,52.8,41.4,34.2,1.67,5.12,,0.093,0.284,
M3Agent,EgoLifeQA,31.4,22.2,0.451,24.4,2.8,22.6,89.8,83.9,2.55,35.3,33.0,0.017
M3Agent,EgoR1Bench,31.7,30.7,0.46,31.7,10.3,21.7,93.7,65.5,2.56,6.59,4.61,0.015
M3Agent,Egoschema,59.4,50.0,0.594,62.6,42.2,31.4,31.2,38.5,0.51,1.73,2.13,0.135
Qwen2.5VL,EgoLifeQA,29.6,24.8,0.275,33.2,4.8,9.6,39.5,46.4,,13.3,15.5,
Qwen2.5VL,EgoR1Bench,34.7,24.0,0.287,26.0,4.33,21.0,39.4,46.8,,13.0,15.7,
Qwen2.5VL,Egoschema,72.8,59.8,0.608,64.6,52.4,44.4,14.0,31.1,,0.779,1.73,
Qwen3VL,EgoLifeQA,36.4,23.8,0.312,30.4,6.4,29.8,10.8,18.6,,3.62,6.28,
Qwen3VL,EgoR1Bench,33.7,23.3,0.325,27.7,8.0,28.0,10.8,19.0,,3.56,6.23,
Qwen3VL,Egoschema,68.4,59.2,0.608,63.8,51.8,51.8,7.99,23.4,,0.444,1.3,
